time,hand,center_x,center_y,center_z
0.94,0,0.5296542644500732,0.8064749538898468,-0.07895204424858093
1.48,0,0.528368815779686,0.8042256832122803,-0.06243761256337166
1.99,0,0.5282627940177917,0.7996768355369568,-0.06854763068258762
2.52,0,0.5279593020677567,0.8007766008377075,-0.06791143864393234
3.03,0,0.5278410464525223,0.804556280374527,-0.06546887941658497
3.57,0,0.5276862233877182,0.8033715486526489,-0.06839154288172722
4.1,0,0.526869922876358,0.8008784651756287,-0.06355735659599304
4.61,0,0.5269790887832642,0.8019414246082306,-0.06007705628871918
5.13,0,0.5259223133325577,0.8034665584564209,-0.060043590143322945
5.64,0,0.5268132388591766,0.7992547154426575,-0.06524595990777016
6.14,0,0.5284716486930847,0.7952269613742828,-0.06636377982795238
6.67,0,0.5256639122962952,0.8043147325515747,-0.061441486701369286
7.18,0,0.5514578521251678,0.7158587872982025,-0.05180421099066734
7.7,0,0.5861174166202545,0.7562724053859711,-0.04323558509349823
8.2,0,0.62074214220047,0.8680659830570221,-0.019171819556504488
8.71,0,0.617265373468399,0.9132333993911743,-0.03182284161448479
9.74,0,0.6371343433856964,0.8684143126010895,-0.027793269604444504
10.25,0,0.5990878343582153,0.36496400833129883,-0.06663830392062664
10.75,0,0.26269596815109253,0.94328173995018,-0.029297676868736744
10.75,1,0.5819500684738159,0.7961724102497101,-0.007118405046639964
11.78,0,0.5906883478164673,0.8766760230064392,-0.04146449826657772
12.28,0,0.2579927295446396,0.8564816415309906,-0.0404084213078022
12.28,1,0.5892044007778168,0.8334659934043884,-0.03910261578857899
12.8,0,0.2742224335670471,0.7021688520908356,-0.03240638505667448
12.8,1,0.5916839241981506,0.7129779756069183,-0.035499739460647106
13.33,0,0.607578843832016,0.6878403425216675,-0.035288212820887566
13.85,0,0.30836012959480286,0.6289252936840057,-0.03832132741808891
13.85,1,0.6092828214168549,0.7257588505744934,-0.03580131847411394
14.38,0,0.29801392555236816,0.6843324303627014,-0.026810294948518276
14.38,1,0.5986614227294922,0.7265657484531403,-0.03387510683387518
14.89,0,0.26080331206321716,0.6880483031272888,-0.026061023585498333
14.89,1,0.5936207175254822,0.7172273397445679,-0.032914564944803715
15.41,0,0.22310634702444077,0.7067221999168396,-0.02319416729733348
15.41,1,0.5822598338127136,0.7224454879760742,-0.03234926611185074
15.93,0,0.5731636583805084,0.7513880133628845,-0.0351303918287158
16.45,0,0.2821257412433624,0.7012497782707214,-0.031029056757688522
16.99,0,0.5922127366065979,0.6706731021404266,-0.03320437949150801
17.5,0,0.2890399694442749,0.6565560400485992,-0.02998789306730032
17.5,1,0.6162042617797852,0.6672259271144867,-0.031808676198124886
18.0,0,0.27036256343126297,0.6724134683609009,-0.024951115250587463
18.0,1,0.6228492558002472,0.6810753345489502,-0.03473538253456354
18.54,0,0.24175046384334564,0.6861046552658081,-0.028292524628341198
18.54,1,0.6015030145645142,0.6936930418014526,-0.030452250503003597
19.08,0,0.59221550822258,0.6986585855484009,-0.03192672412842512
19.61,0,0.28300993144512177,0.6541372537612915,-0.028056721203029156
19.61,1,0.5908305943012238,0.7092047929763794,-0.0303646232932806
20.13,0,0.5979010164737701,0.7186135947704315,-0.031003608368337154
20.63,0,0.594473272562027,0.7128785252571106,-0.03007259126752615
21.17,0,0.5932466685771942,0.7033678889274597,-0.03256254084408283
21.7,0,0.4006083011627197,0.6393171846866608,-0.037862155586481094
21.7,1,0.5976738929748535,0.6979434788227081,-0.02955813892185688
22.22,0,0.4188467264175415,0.8222824931144714,-0.04985464736819267
22.22,1,0.6142009794712067,0.7086310386657715,-0.029218333773314953
22.74,0,0.3637414276599884,0.653847724199295,-0.031304857693612576
22.74,1,0.6192838251590729,0.7278213202953339,-0.031343379989266396
23.25,0,0.32776401937007904,0.693901538848877,-0.036954822950065136
23.25,1,0.6360088586807251,0.7718572914600372,-0.02831105049699545
23.77,0,0.6505797803401947,0.741156131029129,-0.032006124034523964
24.28,0,0.266488716006279,0.8305753171443939,-0.021391817834228277
24.28,1,0.6080923676490784,0.7337094843387604,-0.03411950450390577
24.78,0,0.6153759360313416,0.7325263023376465,-0.0386276850476861
25.29,0,0.42446860671043396,0.8195174932479858,-0.02015421073883772
25.29,1,0.6257011890411377,0.7295720875263214,-0.0334778418764472
25.8,0,0.3177691400051117,0.5826361775398254,-0.0415410827845335
25.8,1,0.6410389542579651,0.6756834387779236,-0.02465471252799034
26.3,0,0.22317111492156982,0.7318081855773926,-0.025490674190223217
26.3,1,0.6381151080131531,0.7547614872455597,-0.027551142498850822
26.82,0,0.6443747282028198,0.7672988474369049,-0.03218998294323683
27.35,0,0.16820268332958221,0.8630403578281403,-0.029315772466361523
27.35,1,0.6343854665756226,0.8036603927612305,-0.0415977630764246
28.91,0,0.2722892612218857,0.7370184361934662,-0.051153216511011124
29.45,0,0.6204740703105927,0.7808725237846375,-0.03466666117310524
29.96,0,0.6212309002876282,0.7850179374217987,-0.03576682973653078
30.46,0,0.6241483092308044,0.7852819561958313,-0.033994076773524284
30.98,0,0.24299684166908264,0.5953032672405243,-0.03313529212027788
30.98,1,0.6252707839012146,0.7831995785236359,-0.03620327915996313
31.5,0,0.33173060417175293,0.6926242709159851,-0.035759604535996914
31.5,1,0.6254169046878815,0.7567632496356964,-0.03528274688869715
32.02,0,0.6156432926654816,0.7472411394119263,-0.04186615627259016
32.53,0,0.3360748440027237,0.8773055970668793,-0.03971652872860432
32.53,1,0.6140399277210236,0.7568476796150208,-0.041480718180537224
33.06,0,0.2531789392232895,0.902311772108078,-0.03788035549223423
33.06,1,0.6078615188598633,0.8017957806587219,-0.027001374401152134
33.58,0,0.23422961682081223,0.8355808556079865,-0.05134212225675583
34.6,0,0.46957923471927643,0.7366228699684143,-0.026426082476973534
34.6,1,0.6597151756286621,0.6816741526126862,-0.030020435340702534
35.11,0,0.6754777133464813,0.6758484840393066,-0.025715164840221405
35.62,0,0.6429067254066467,0.6990010440349579,-0.02574166003614664
36.13,0,0.3665146231651306,0.788258969783783,-0.02595513593405485
36.13,1,0.6369171142578125,0.7148558497428894,-0.03304092213511467
36.65,0,0.41149061918258667,0.9364126622676849,-0.033811964094638824
36.65,1,0.6557262539863586,0.7291960716247559,-0.03348924312740564
37.17,0,0.4132484495639801,0.6506575644016266,-0.050957197323441505
37.17,1,0.6653677523136139,0.7335576415061951,-0.03148862347006798
37.69,0,0.41518668830394745,0.88120236992836,-0.03559608943760395
37.69,1,0.6962427198886871,0.7544919550418854,-0.03330032341182232
38.75,0,0.39692795276641846,0.7362793982028961,-0.06257209181785583
38.75,1,0.678051769733429,0.7303969860076904,-0.02904268354177475
39.29,0,0.4154335856437683,0.8636280298233032,-0.039382027462124825
39.29,1,0.6871238350868225,0.7654123902320862,-0.024569584988057613
39.8,0,0.666217714548111,0.7648382782936096,-0.03000966552644968
40.32,0,0.3756250739097595,0.7470419406890869,-0.029471158050000668
40.32,1,0.6519531905651093,0.7504657506942749,-0.03054475411772728
41.35,0,0.20117288827896118,0.7666250169277191,-0.021208499558269978
41.9,0,0.5608439147472382,0.803011953830719,-0.07038009166717529
41.9,1,0.5593966841697693,0.8006136119365692,-0.03656880930066109
42.4,0,0.5700482726097107,0.8010429739952087,-0.03551716450601816
42.93,0,0.22579869627952576,0.698291152715683,-0.03565556649118662
42.93,1,0.5767312943935394,0.8044331073760986,-0.03628328628838062
43.43,0,0.547819584608078,0.8066240549087524,-0.04916120506823063
43.43,1,0.5458461940288544,0.8096263110637665,-0.035848298110067844
43.96,0,0.4480832666158676,0.8593106269836426,-0.02235405519604683
43.96,1,0.2432984858751297,0.5940247476100922,-0.024995871353894472
44.48,0,0.49712562561035156,0.7591801583766937,-0.035225577652454376
44.48,1,0.2754475474357605,0.6413670778274536,-0.026084976736456156
44.99,0,0.5252270996570587,0.8269379138946533,-0.039638759568333626
45.51,0,0.303045853972435,0.7170181572437286,-0.04068451374769211
45.51,1,0.5130118727684021,0.855592280626297,-0.02978853415697813
46.02,0,0.3112199753522873,0.7445450127124786,-0.0403209812939167
46.02,1,0.5471274852752686,0.7958163321018219,-0.04355056956410408
46.56,0,0.4915771335363388,0.9011378586292267,-0.01602296344935894
46.56,1,0.27483518421649933,0.8137291967868805,-0.026468753814697266
46.56,2,0.4903649389743805,0.8953593671321869,-0.032775186002254486
47.06,0,0.2725396752357483,0.7760119438171387,-0.02395415212959051
47.06,1,0.5207805931568146,0.7877078056335449,-0.04047136753797531
47.58,0,0.5248648673295975,0.820343017578125,-0.04582905396819115
48.08,0,0.5704238712787628,0.812477320432663,-0.05495874583721161
48.08,1,0.5665995180606842,0.8146759271621704,-0.034714918583631516
48.61,0,0.5829636752605438,0.8021731078624725,-0.03291446901857853
49.12,0,0.59209343791008,0.8074509799480438,-0.033691639080643654
49.64,0,0.3381391018629074,0.7151433825492859,-0.048901392146945
50.14,0,0.6143570244312286,1.019399344921112,-0.028778109699487686
50.14,1,0.33308662474155426,0.6711388528347015,-0.031570736318826675
50.66,0,0.3128190040588379,0.7485181093215942,-0.04161669500172138
50.66,1,0.5954949855804443,0.7138819098472595,-0.03772243205457926
51.18,0,0.6003038287162781,0.738917887210846,-0.038456231355667114
51.7,0,0.6040026545524597,0.7180344760417938,-0.03134177904576063
52.22,0,0.34879016876220703,0.6545519530773163,-0.034266806207597256
52.22,1,0.5915821194648743,0.806534618139267,-0.025220378302037716
52.74,0,0.32968534529209137,0.674718976020813,-0.03991206083446741
53.26,0,0.3184234946966171,0.6853125989437103,-0.03489891905337572
53.8,0,0.5950319766998291,0.6895895898342133,-0.03326842747628689
54.83,0,0.5819373726844788,0.8158056735992432,-0.03741001524031162
55.37,0,0.5698833465576172,0.7976557612419128,-0.038091220892965794
55.9,0,0.29567110538482666,0.7165741920471191,-0.031778463162481785
56.4,0,0.26844558119773865,0.7985465824604034,-0.03211431670933962
56.91,0,0.20719340443611145,0.8191861212253571,-0.022674573585391045
56.91,1,0.5755210816860199,0.8854607343673706,-0.020687106996774673
57.43,0,0.5643060207366943,0.9314022660255432,-0.042838605120778084
57.43,1,0.28311243653297424,0.6540955901145935,-0.02983429655432701
57.95,0,0.2940666079521179,0.744799792766571,-0.010428551118820906
58.99,0,0.5710860788822174,0.9699830412864685,-0.05320730432868004
59.51,0,0.5700037777423859,0.7767542898654938,-0.042240943759679794
59.51,1,0.248861163854599,0.7973787486553192,-0.0313979322090745
60.02,0,0.31537896394729614,0.6427226364612579,-0.04136541858315468
60.02,1,0.5830864012241364,0.6651461124420166,-0.03547481633722782
60.55,0,0.3159184902906418,0.713366836309433,-0.033135837875306606
60.55,1,0.6050978600978851,0.7389220297336578,-0.03709979634732008
61.05,0,0.6004478633403778,0.761584609746933,-0.0338469622656703
61.56,0,0.596157431602478,0.7593017816543579,-0.03525608964264393
62.6,0,0.3085881620645523,0.6270888447761536,-0.025962915271520615
62.6,1,0.6970740854740143,0.6396452486515045,-0.024266422726213932
63.62,0,0.6209631562232971,0.7711493372917175,-0.03782843332737684
64.14,0,0.6227871179580688,0.7718434929847717,-0.037077611312270164
64.65,0,0.27375292778015137,0.7693382799625397,-0.03496154583990574
64.65,1,0.5814851522445679,0.7844749093055725,-0.030349270440638065
65.18,0,0.24940019845962524,0.7462462484836578,-0.024828435853123665
65.18,1,0.5569363832473755,0.7933120131492615,-0.035675233229994774
66.22,0,0.6403213739395142,0.7591360509395599,-0.031517173163592815
66.22,1,0.32641950249671936,0.6873920559883118,-0.03642651345580816
66.72,0,0.615517795085907,0.7729473412036896,-0.03335911501199007
66.72,1,0.30599187314510345,0.7097276747226715,-0.03846108540892601
67.25,0,0.6143251061439514,0.7738696038722992,-0.03277653641998768
68.82,0,0.31683529913425446,0.7503138482570648,-0.02629038505256176
68.82,1,0.6598619818687439,0.7141561806201935,-0.025391921401023865
69.34,0,0.6291413605213165,0.7726559340953827,-0.03298996947705746
69.85,0,0.6258354187011719,0.7915735840797424,-0.035354853607714176
70.37,0,0.5609216690063477,0.8423950970172882,-0.04226871766149998
70.37,1,0.5612829923629761,0.8504583835601807,-0.034350741654634476
70.89,0,0.24515162408351898,0.8060449957847595,-0.040942007675766945
70.89,1,0.480713427066803,0.8655388355255127,-0.04091235063970089
71.43,0,0.4240741431713104,0.9607847929000854,-0.023730825632810593
71.97,0,0.19761571288108826,0.8535294532775879,-0.06398934870958328
71.97,1,0.3897077143192291,0.9056350886821747,-0.02501346543431282
72.49,0,0.19357316195964813,0.8780655860900879,-0.013330657035112381
72.49,1,0.38336436450481415,0.9141973257064819,-0.022877939976751804
73.01,0,0.43250077962875366,0.8930450677871704,-0.022318322211503983
74.06,0,0.5346422791481018,0.7873693406581879,-0.05146270617842674
74.06,1,0.5337437391281128,0.795341968536377,-0.031972101889550686
74.57,0,0.5624015629291534,0.7691453695297241,-0.04529325105249882
75.11,0,0.5409861505031586,0.7264414727687836,-0.038403368555009365
75.63,0,0.5306748151779175,0.7458955645561218,-0.04720162786543369
75.63,1,0.5317003130912781,0.7246755361557007,-0.03466492332518101
82.47,0,0.5964386463165283,0.7460748255252838,-0.032587253488600254
83.5,0,0.588877946138382,0.7634971439838409,-0.03705303743481636
84.01,0,0.2500988692045212,0.7478272318840027,-0.07743459567427635
84.01,1,0.5902851521968842,0.7812338173389435,-0.03552884794771671
84.53,0,0.2344047799706459,0.778444916009903,-0.044799044728279114
84.53,1,0.5841762125492096,0.8000916838645935,-0.030538607388734818
85.04,0,0.5875044763088226,0.8085231482982635,-0.0358384121209383
86.11,0,0.577221155166626,0.6158308386802673,-0.031116834841668606
86.61,0,0.1632409766316414,0.7185909748077393,-0.015654495218768716
86.61,1,0.5893670618534088,0.6768177151679993,-0.03364875819534063
87.14,0,0.2125319540500641,0.7567624151706696,-0.03026351612061262
87.14,1,0.5878130793571472,0.6953141689300537,-0.03239426854997873
87.66,0,0.20891102403402328,0.7432029843330383,-0.025561582297086716
87.66,1,0.5747534930706024,0.7123637199401855,-0.03470299951732159
88.17,0,0.5897461771965027,0.7270179092884064,-0.03324890788644552
88.68,0,0.23775386065244675,0.7921291291713715,-0.034356807358562946
89.21,0,0.6510917544364929,0.6428221464157104,-0.02104913117364049
89.73,0,0.2021779790520668,0.7114091515541077,-0.024668267462402582
89.73,1,0.6174976825714111,0.6720786094665527,-0.027368593029677868
90.23,0,0.1990158036351204,0.7192207276821136,-0.023760996758937836
90.23,1,0.6285046637058258,0.6620023250579834,-0.026515380945056677
90.75,0,0.6104009449481964,0.6802034378051758,-0.02925885748118162
91.26,0,0.24895866960287094,0.7110717296600342,-0.033551222644746304
91.26,1,0.6270973086357117,0.7700106203556061,-0.03306159656494856
91.76,0,0.6827849447727203,0.6228806376457214,-0.019725079648196697
91.76,1,0.20979269593954086,0.6960172057151794,-0.018179098144173622
92.27,0,0.6338686645030975,0.6423070728778839,-0.018510736990720034
92.77,0,0.2614651247859001,0.6939709484577179,-0.02791299019008875
92.77,1,0.6068809628486633,0.6887401938438416,-0.02977427188307047
93.27,0,0.21509360522031784,0.7099299430847168,-0.009000927908346057
93.27,1,0.5978713631629944,0.716690719127655,-0.030633602291345596
93.79,0,0.6216343641281128,0.724225640296936,-0.029110140167176723
94.29,0,0.308605894446373,0.5761883854866028,-0.03603982552886009
94.82,0,0.6249792277812958,0.7323961853981018,-0.035311486572027206
94.82,1,0.26774950325489044,0.678526908159256,-0.02831435203552246
95.33,0,0.6181166172027588,0.7722945511341095,-0.03046693466603756
96.91,0,0.34603068232536316,0.6037390530109406,-0.03528675530105829
96.91,1,0.6393812894821167,0.7304589152336121,-0.026654734276235104
97.96,0,0.6337541937828064,0.754248172044754,-0.03453560546040535
98.48,0,0.33699484169483185,0.6079239845275879,-0.034779165871441364
98.48,1,0.6333185434341431,0.7910413444042206,-0.02663206309080124
99.54,0,0.33342787623405457,0.7484258711338043,-0.027561001479625702
100.07,0,0.3481936603784561,0.7145410180091858,-0.020242697559297085
100.07,1,0.6500604748725891,0.7440524399280548,-0.02884392812848091
100.57,0,0.338781014084816,0.7150756120681763,-0.028901291079819202
101.11,0,0.6562707424163818,0.7400309145450592,-0.03038651216775179
101.64,0,0.2858404517173767,0.6824952065944672,-0.02468323800712824
102.17,0,0.6202865839004517,0.6224114298820496,-0.020232003182172775
102.7,0,0.28676608204841614,0.6253344118595123,-0.031393918208777905
102.7,1,0.5602344274520874,0.7414065599441528,-0.03560222778469324
103.23,0,0.5536529123783112,0.8409171998500824,-0.024920222349464893
103.23,1,0.2846469432115555,0.6580325961112976,-0.012999508529901505
103.76,0,0.2892744541168213,0.6356375515460968,-0.030488738790154457
104.27,0,0.5651631951332092,0.6748824417591095,-0.030313805676996708
104.79,0,0.5526383221149445,0.7325904667377472,-0.025876429863274097
105.31,0,0.5492814481258392,0.829319566488266,-0.03429593797773123
105.82,0,0.5439609587192535,0.8170098066329956,-0.050102224573493004
105.82,1,0.22805726528167725,0.6682009994983673,-0.019686395302414894
106.32,0,0.5689674615859985,0.6776696741580963,-0.032319786958396435
106.32,1,0.2873245179653168,0.5762768387794495,-0.024205828085541725
106.85,0,0.6082761287689209,0.6923404633998871,-0.031884435564279556
106.85,1,0.29187527298927307,0.6376310586929321,-0.031117604114115238
107.37,0,0.60771444439888,0.7025225162506104,-0.03264377452433109
107.37,1,0.29115623235702515,0.6570636332035065,-0.033056710846722126
107.91,0,0.5937796533107758,0.7374752461910248,-0.027653731405735016
107.91,1,0.27591437101364136,0.718854159116745,-0.042517850175499916
108.96,0,0.6790802776813507,0.5918211042881012,-0.02196653001010418
109.5,0,0.3122740387916565,0.7109959721565247,-0.030887113884091377
109.5,1,0.6089709997177124,0.7279090583324432,-0.026286253705620766
110.02,0,0.5872750878334045,0.7596735656261444,-0.029210664331912994
110.52,0,0.29069115221500397,0.7027643322944641,-0.026825751177966595
110.52,1,0.5882253646850586,0.7239504456520081,-0.0309386495500803
111.04,0,0.2507101371884346,0.706617921590805,-0.027797576040029526
111.04,1,0.5427207946777344,0.7377328276634216,-0.03837517090141773
111.55,0,0.2059594914317131,0.7174130082130432,-0.023387265391647816
112.05,0,0.5363550782203674,0.7634802460670471,-0.02996420208364725
112.58,0,0.29224564135074615,0.6516492962837219,-0.028230994939804077
112.58,1,0.6289438605308533,0.7260454893112183,-0.028733273968100548
113.09,0,0.2765459418296814,0.6664920747280121,-0.025618862826377153
113.09,1,0.628945380449295,0.7229537665843964,-0.029980315826833248
113.61,0,0.6408522427082062,0.7284102439880371,-0.02743286546319723
115.15,0,0.6505095660686493,0.6666389405727386,-0.019064152147620916
115.15,1,0.3042919635772705,0.7371560335159302,-0.04272755980491638
115.67,0,0.2633701115846634,0.797397643327713,-0.03592934086918831
115.67,1,0.6068422198295593,0.7883769571781158,-0.03458925802260637
116.17,0,0.5971975028514862,0.7192358374595642,-0.03413304593414068
116.69,0,0.27081073820590973,0.7974207997322083,-0.02046469831839204
116.69,1,0.5575176179409027,0.8017222583293915,-0.03381767962127924
117.2,0,0.5381384789943695,0.7816688716411591,-0.04042159765958786
118.23,0,0.26422537863254547,0.692049652338028,-0.031087215058505535
118.23,1,0.5886182487010956,0.7344521880149841,-0.03495057672262192
118.74,0,0.26064175367355347,0.6921720802783966,-0.04184217471629381
118.74,1,0.6161259412765503,0.7053462564945221,-0.02601687517017126
119.24,0,0.3174391984939575,0.7288672924041748,-0.03786839824169874
119.76,0,0.8321667909622192,0.6909226775169373,-0.11151518300175667
